"variable","bin","points"
"[base points]",NA,512
"age.in.years","[-Inf,26)",-9
"age.in.years","[26,35)",-1
"age.in.years","[35, Inf)",5
"credit.amount","[-Inf,4000)",6
"credit.amount","[12500, Inf)",-55
"credit.amount","[4000,7900)",-11
"credit.amount","[7900,12500)",-24
"credit.history","critical account/ other credits existing (not at this bank)",16
"credit.history","delay in paying off in the past",-2
"credit.history","existing credits paid back duly till now",-2
"credit.history","no credits taken/ all credits paid back duly%,%all credits at this bank paid back duly",-27
"duration.in.month","[-Inf,8)",24
"duration.in.month","[16,34)",-2
"duration.in.month","[34,44)",-10
"duration.in.month","[44, Inf)",-21
"duration.in.month","[8,16)",6
"housing","for free",-9
"housing","own",4
"housing","rent",-8
"installment.rate.in.percentage.of.disposable.income","[-Inf,3)",12
"installment.rate.in.percentage.of.disposable.income","[3,4)",4
"installment.rate.in.percentage.of.disposable.income","[4, Inf)",-10
"other.debtors.or.guarantors","guarantor",26
"other.debtors.or.guarantors","none%,%co-applicant",-1
"other.installment.plans","bank%,%stores",-14
"other.installment.plans","none",3
"present.employment.since","1 <= ... < 4 years",-1
"present.employment.since","4 <= ... < 7 years%,%... >= 7 years",8
"present.employment.since","unemployed%,%... < 1 year",-11
"present.residence.since","[-Inf,2)",9
"present.residence.since","[2,3)",-6
"present.residence.since","[3,4)",4
"present.residence.since","[4, Inf)",0
"purpose","furniture/equipment%,%domestic appliances%,%business%,%repairs%,%car (new)%,%others%,%education",-6
"purpose","radio/television",9
"purpose","retraining%,%car (used)",18
"savings.account.and.bonds","... < 100 DM",-7
"savings.account.and.bonds","100 <= ... < 500 DM",-3
"savings.account.and.bonds","500 <= ... < 1000 DM%,%... >= 1000 DM%,%unknown/ no savings account",19
"status.of.existing.checking.account","... < 0 DM%,%0 <= ... < 200 DM",-14
"status.of.existing.checking.account","... >= 200 DM / salary assignments for at least 1 year",10
"status.of.existing.checking.account","no checking account",28
